captured_at_utc,run_id,source_url,hour_label,rank,name,name_norm,tweet_count_raw,tweet_count,best_position,total_tweets,trending_for_raw,trending_for_hours
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:43 GMT+0000 (Coordinated Universal Time),47,#HUT81,hut81,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:43 GMT+0000 (Coordinated Universal Time),48,#Kemendesapdt,kemendesapdt,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),1,#GOPAY1RUPIAH,gopay1rupiah,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),2,#BersamaBantuNTT,bersamabantuntt,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),3,Uluran Tangan Saudara,uluran tangan saudara,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),4,#DukaBencana,dukabencana,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),5,Negara Hadir Saat Bencana,negara hadir saat bencana,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),6,HUT RI,hut ri,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),7,#PYPD_IN_SANFRANCISCO,pypd_in_sanfrancisco,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),8,#UFC330,ufc330,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),9,Tim SAR Gabungan,tim sar gabungan,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),10,Budiman Sudjatmiko,budiman sudjatmiko,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),11,Ian Garry,ian garry,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),12,BP Taskin,bp taskin,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),13,Mbay,mbay,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),14,Maumere,maumere,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),15,Kemensos,kemensos,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),16,Arlington,arlington,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),17,Lomba,lomba,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),18,Islam Makhachev,islam makhachev,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),19,TNI Polri,tni polri,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),20,Hapsun,hapsun,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),21,Aceh,aceh,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),22,READY GO GO GO,ready go go go,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),23,Presiden Prabowo,presiden prabowo,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),24,Trade $BANK,trade $bank,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),25,Makmur,makmur,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),26,NKRI,nkri,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),27,Dirgahayu Republik Indonesia,dirgahayu republik indonesia,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),28,Gempa NTT,gempa ntt,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),29,17 Agustus,17 agustus,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),30,Gempa M7,gempa m7,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),31,Nagekeo,nagekeo,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),32,Amorim,amorim,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),33,Rebahan,rebahan,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),34,Libur,libur,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),35,KOPERASI DESA MERAH PUTIH,koperasi desa merah putih,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),36,Bocah,bocah,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),37,#JKT48FajarSangIdola,jkt48fajarsangidola,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),38,#ARMYsAgainstViolence,armysagainstviolence,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),39,#ARMYsAgainstAbusers,armysagainstabusers,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),40,#ARMYsAgainstChrisBrown,armysagainstchrisbrown,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),41,#SEONGHYEONStageKiller,seonghyeonstagekiller,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),42,#FourthConcert,fourthconcert,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),43,#KeonhoSetsTheScene,keonhosetsthescene,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),44,#MARTINFlyHigh,martinflyhigh,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),45,#JemiMayoret,jemimayoret,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),46,#KDMPMensejahterakan,kdmpmensejahterakan,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),47,#HUT81,hut81,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 05:12:26 GMT+0000 (Coordinated Universal Time),48,#Kemendesapdt,kemendesapdt,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),1,#GOPAY1RUPIAH,gopay1rupiah,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),2,#DukaBencana,dukabencana,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),3,Negara Hadir Saat Bencana,negara hadir saat bencana,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),4,HUT RI,hut ri,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),5,#PYPD_IN_SANFRANCISCO,pypd_in_sanfrancisco,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),6,#PencatutanInstitusi,pencatutaninstitusi,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),7,#JKT48FajarSangIdola,jkt48fajarsangidola,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),8,Tim SAR Gabungan,tim sar gabungan,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),9,Budiman Sudjatmiko,budiman sudjatmiko,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),10,Mbay,mbay,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),11,BP Taskin,bp taskin,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),12,TNI Polri,tni polri,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),13,Maumere,maumere,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),14,Arlington,arlington,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),15,Kemensos,kemensos,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),16,Presiden Prabowo,presiden prabowo,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),17,SEONGHYEON ROCKS THE BAY,seonghyeon rocks the bay,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),18,Lomba,lomba,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),19,Hapsun,hapsun,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),20,READY GO GO GO,ready go go go,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),21,Aceh,aceh,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),22,Islam Makhachev,islam makhachev,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),23,Nagekeo,nagekeo,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),24,Trade $BANK,trade $bank,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),25,NKRI,nkri,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),26,Amorim,amorim,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),27,Rebahan,rebahan,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),28,KOPERASI DESA MERAH PUTIH,koperasi desa merah putih,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),29,Wowo,wowo,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),30,Libur,libur,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),31,#UFC330,ufc330,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),32,#SEONGHYEONStageKiller,seonghyeonstagekiller,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),33,#JemiMayoret,jemimayoret,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),34,#FourthConcert,fourthconcert,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),35,#KDMPMensejahterakan,kdmpmensejahterakan,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),36,#HUT81,hut81,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),37,#Kemendesapdt,kemendesapdt,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 04:21:20 GMT+0000 (Coordinated Universal Time),38,#KuCoin,kucoin,,,,,,
2026-08-16T05:41:26.007327+00:00,20260816-054126,https://trends24.in/indonesia/,Sun Aug 16 2026 03:30:38 GMT+0000 (Coordinated Universal Time),1,#GOPAY1RUPIAH,gopay1rupiah,,,,,,
